SeqName	SeqDesc	GOTerms	Enzymes	KeggMaps
dp_gene50	Macroglobulin complement-related	extracellular space;integral component of membrane;endopeptidase inhibitor activity;negative regulation of endopeptidase activity		
dp_gene51	Macroglobulin complement-related	extracellular space;integral component of membrane;endopeptidase inhibitor activity;negative regulation of endopeptidase activity		
dp_gene52	Macroglobulin complement-related	extracellular space;integral component of membrane;endopeptidase inhibitor activity;negative regulation of endopeptidase activity		
dp_gene53	hypothetical protein DAPPUDRAFT_329526			
dp_gene54	hypothetical protein DAPPUDRAFT_329526			
dp_gene55	Sulfate transporter	integral component of plasma membrane;chloride channel activity;secondary active sulfate transmembrane transporter activity;bicarbonate transmembrane transporter activity;anion:anion antiporter activity;oxalate transmembrane transporter activity;bicarbonate transport;oxalate transport;regulation of membrane potential;regulation of intracellular pH;sulfate transmembrane transport;chloride transmembrane transport		
dp_gene56	Sulfate transporter	integral component of plasma membrane;chloride channel activity;secondary active sulfate transmembrane transporter activity;bicarbonate transmembrane transporter activity;anion:anion antiporter activity;oxalate transmembrane transporter activity;bicarbonate transport;oxalate transport;regulation of membrane potential;regulation of intracellular pH;sulfate transmembrane transport;chloride transmembrane transport		
dp_gene57	structural maintenance of chromosomes 4	nucleus;chromosome;integral component of membrane;ATP binding;chromosome organization		
dp_gene58	Trypsin serine protease	serine-type endopeptidase activity;proteolysis		
dp_gene59	Serine protease	integral component of membrane;serine-type endopeptidase activity;proteolysis		
dp_gene60	28S ribosomal mitochondrial	mitochondrial small ribosomal subunit;structural constituent of ribosome;mitochondrial translation		
dp_gene61	Ribosome biogenesis bms1	nucleus;membrane;90S preribosome;GTPase activity;GTP binding;U3 snoRNA binding;metal ion binding;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)		
dp_gene62	hypothetical protein	integral component of membrane		
dp_gene63	Centromere-associated E	kinesin complex;nucleotide binding;microtubule motor activity;protein binding;ATPase activity;microtubule-based movement;mitotic metaphase plate congression		
dp_gene64	Coatomer subunit gamma	Golgi membrane;integral component of membrane;COPI vesicle coat;structural molecule activity;intracellular protein transport;vesicle-mediated transport		
dp_gene65	RNA polymerase II subunit A C-terminal domain phosphatase	DNA-directed RNA polymerase II, holoenzyme;CTD phosphatase activity;dephosphorylation of RNA polymerase II C-terminal domain		
dp_gene66	probable methyltransferase 15 homolog	rRNA (cytosine-N4-)-methyltransferase activity;rRNA base methylation		
dp_gene67	oxidoreductase HTATIP2 isoform X2	nuclear part		
dp_gene68	hypothetical protein DAPPUDRAFT_120425	nucleic acid binding;zinc ion binding		
dp_gene69	organic cation transporter	integral component of plasma membrane;organic cation transmembrane transporter activity;organic cation transport;transmembrane transport		
dp_gene70	hypothetical protein DAPPUDRAFT_329195			
dp_gene71	---NA---			
dp_gene72	hypothetical protein DAPPUDRAFT_326919			
dp_gene73	abl interactor 2 isoform X3	cytoplasm		
dp_gene74	Cyclic AMP-dependent transcription factor ATF-6 alpha	transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding;regulation of transcription, DNA-templated		
dp_gene75	Notch-regulated ankyrin repeat-containing	sprouting angiogenesis;tissue development;cellular process;regulation of canonical Wnt signaling pathway		
dp_gene76	DNA replication licensing factor mcm5	nucleus;MCM complex;DNA helicase activity;chromatin binding;DNA replication origin binding;ATP binding;DNA replication initiation;DNA duplex unwinding		
dp_gene77	HID1	Golgi trans cisterna;Golgi medial cisterna;membrane;intracellular protein transport		
dp_gene78	peroxidasin homolog			
dp_gene79	RNA exonuclease NEF-sp	nucleic acid binding;exonuclease activity;nucleic acid phosphodiester bond hydrolysis		
dp_gene80	dehydrodolichyl diphosphate syntase complex subunit DHDDS-like	transferase activity, transferring alkyl or aryl (other than methyl) groups;protein glycosylation		
dp_gene81	Oxygen-dependent coproporphyrinogen-III oxidase	membrane;coproporphyrinogen oxidase activity;porphyrin-containing compound biosynthetic process;oxidation-reduction process		
dp_gene82	Nucleolar pre-ribosomal-associated 1			
dp_gene83	Arginine serine-rich PNISR	integral component of membrane		
dp_gene84	dehydrodolichyl diphosphate syntase complex subunit NUS1	integral component of membrane;transferase activity, transferring alkyl or aryl (other than methyl) groups;single-organism process		
dp_gene85	Akirin-2			
dp_gene86	Zinc finger C4H2 domain-containing			
dp_gene87	Palmitoyltransferase ZDHHC5	cytoplasm;integral component of membrane;zinc ion binding;protein-cysteine S-palmitoyltransferase activity;protein palmitoylation		
dp_gene88	Zinc carboxypeptidase	extracellular space;metallocarboxypeptidase activity;zinc ion binding;proteolysis		
dp_gene89	E3 ubiquitin- ligase SIAH1-like	nucleus;cytoplasm;zinc ion binding;ligase activity;ubiquitin protein ligase activity;apoptotic process;multicellular organism development;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;proteasome-mediated ubiquitin-dependent protein catabolic process		
dp_gene90	E3 ubiquitin- ligase SIAH1-like	nucleus;cytoplasm;ligase activity;ubiquitin protein ligase activity;apoptotic process;multicellular organism development;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;proteasome-mediated ubiquitin-dependent protein catabolic process		
dp_gene91	hypothetical protein DAPPUDRAFT_255413			
dp_gene92	Connectin			
dp_gene93	hypothetical protein DAPPUDRAFT_326913			
dp_gene94	hypothetical protein DAPPUDRAFT_326919			
dp_gene95	hypothetical protein DAPPUDRAFT_308750			
dp_gene96	hypothetical protein DAPPUDRAFT_255453			
dp_gene97	hypothetical protein DAPPUDRAFT_326913			
dp_gene98	hypothetical protein DAPPUDRAFT_329246	cytoplasm;RNA binding;glutamate-tRNA ligase activity;proline-tRNA ligase activity;ATP binding;glutamyl-tRNA aminoacylation;prolyl-tRNA aminoacylation		
dp_gene99	hypothetical protein DAPPUDRAFT_328925	membrane;transmembrane signaling receptor activity;extracellular ligand-gated ion channel activity		
dp_gene100	Denn domain-containing			
dp_gene101	WD repeat and HMG-box DNA-binding 1			
dp_gene102	hypothetical protein DAPPUDRAFT_326935	protein kinase activity;ATP binding;protein phosphorylation		
dp_gene103	RTF2 homolog	nucleus;mitotic DNA replication termination		
dp_gene104	annetocin receptor-like	integral component of plasma membrane;vasopressin receptor activity;peptide binding;G-protein coupled receptor signaling pathway;cellular response to hormone stimulus;response to peptide		
dp_gene105	Splicing factor 3B subunit	U2 snRNP;U12-type spliceosomal complex;U2-type prespliceosome;catalytic step 2 spliceosome;mRNA binding;spliceosomal complex assembly		
dp_gene106	arginine vasopressin receptor	integral component of plasma membrane;vasopressin receptor activity;peptide binding;G-protein coupled receptor signaling pathway;cellular response to hormone stimulus;response to peptide		
dp_gene107	Bifunctional glutamate proline--tRNA ligase	cytoplasm;nucleotide binding;RNA binding;proline-tRNA ligase activity;prolyl-tRNA aminoacylation		
dp_gene108	hypothetical protein DAPPUDRAFT_326913			
dp_gene109	hypothetical protein DAPPUDRAFT_329246	cytoplasm;RNA binding;glutamate-tRNA ligase activity;proline-tRNA ligase activity;ATP binding;glutamyl-tRNA aminoacylation;prolyl-tRNA aminoacylation		
dp_gene110	cytidine deaminase-like	cytosol;cytidine deaminase activity;zinc ion binding;cytidine deamination		
dp_gene111	Serine threonine- kinase mTOR	nucleus;protein serine/threonine kinase activity;ATP binding;macromolecular complex binding;DNA repair;protein phosphorylation		
dp_gene112	RING finger and SPRY domain-containing 1-like	zinc ion binding		
dp_gene113	L-fucose kinase isoform X1	cytoplasm;membrane;ATP binding;kinase activity;phosphotransferase activity, alcohol group as acceptor;phosphorylation		
dp_gene114	hypothetical protein DAPPUDRAFT_326919			
dp_gene115	Bifunctional glutamate proline--tRNA ligase	cytoplasm;RNA binding;glutamate-tRNA ligase activity;proline-tRNA ligase activity;ATP binding;glutamyl-tRNA aminoacylation;prolyl-tRNA aminoacylation		
dp_gene116	N-alpha-acetyltransferase 40	N-acetyltransferase activity		
dp_gene117	Adenylosuccinate synthetase	cytoplasm;magnesium ion binding;adenylosuccinate synthase activity;GTP binding;'de novo' AMP biosynthetic process;IMP metabolic process		
dp_gene118	DNA helicase MCM8	MCM8-MCM9 complex;DNA binding;ATP binding;double-strand break repair via homologous recombination;DNA replication;female gamete generation;male gamete generation		
dp_gene119	Cilia- and flagella-associated 36			
dp_gene120	feline leukemia virus subgroup C receptor-related 2 isoform X1	integral component of membrane;transmembrane transport		
dp_gene121	feline leukemia virus subgroup C receptor-related 2	integral component of membrane;transmembrane transport		
dp_gene122	2-oxoisovalerate dehydrogenase subunit mitochondrial	pyruvate dehydrogenase (acetyl-transferring) activity;oxidation-reduction process		
dp_gene123	---NA---			
dp_gene124	FAM46C isoform X2	integral component of membrane		
dp_gene125	GDAP2 homolog			
dp_gene126	GDAP2 homolog			
dp_gene127	aminoacyl tRNA synthase complex-interacting multifunctional 1 isoform X2	tRNA binding		
dp_gene128	Coiled-coil domain-containing 97	U2 snRNP		
dp_gene129	DNA polymerase eta	damaged DNA binding;DNA repair		
dp_gene130	hypothetical protein DAPPUDRAFT_262912			
dp_gene131	hypothetical protein DAPPUDRAFT_337453			
dp_gene132	hypothetical protein DAPPUDRAFT_118686			
dp_gene133	dynein intermediate chain axonemal	cell part		
dp_gene134	Platelet-activating factor acetylhydrolase	1-alkyl-2-acetylglycerophosphocholine esterase activity;ATP binding;sulfiredoxin activity;lipid catabolic process;oxidation-reduction process;cellular oxidant detoxification		
dp_gene135	Solute carrier family 46 member 3	integral component of membrane;transmembrane transport		
dp_gene136	proton-coupled folate transporter-like	integral component of membrane;transmembrane transport		
dp_gene137	Fasciculation and elongation zeta-2	integral component of membrane		
dp_gene138	acyl- :lysophosphatidylglycerol acyltransferase 1-like isoform X1	integral component of membrane;transferase activity, transferring acyl groups;metabolic process		
dp_gene139	hypothetical protein DAPPUDRAFT_329247			
dp_gene140	---NA---			
dp_gene141	Arginine-glutamic acid dipeptide repeats	transcription factor activity, sequence-specific DNA binding;zinc ion binding;sequence-specific DNA binding;regulation of transcription, DNA-templated		
dp_gene142	prostaglandin E2 receptor EP2 subtype isoform X1	integral component of membrane;G-protein coupled receptor activity;G-protein coupled receptor signaling pathway		
dp_gene143	organic cation transporter	integral component of plasma membrane;organic cation transmembrane transporter activity;organic cation transport;transmembrane transport		
dp_gene144	prostaglandin E2 receptor EP2 subtype isoform X1	integral component of membrane;G-protein coupled receptor activity;G-protein coupled receptor signaling pathway		
dp_gene145	Integrator complex subunit 6			
dp_gene146	structural maintenance of chromosomes 4-like	nucleus;chromosome;integral component of membrane;ATP binding;chromosome organization		
dp_gene147	Integral membrane efflux efpa	lysosomal membrane;integral component of membrane;vesicle;sphingolipid transporter activity;sphingosine-1-phosphate signaling pathway;lipid transport;locomotion;transmembrane transport		
dp_gene148	Ammonium transporter Rh type C	integral component of plasma membrane;ammonium transmembrane transporter activity;organic cation transport;nitrogen utilization;ammonium transmembrane transport		
dp_gene149	---NA---			
dp_gene150	Coatomer subunit gamma-2	Golgi membrane;endoplasmic reticulum membrane;cytosol;COPI vesicle coat;transport vesicle;structural molecule activity;intracellular protein transport;ER to Golgi vesicle-mediated transport;retrograde vesicle-mediated transport, Golgi to ER;intra-Golgi vesicle-mediated transport		
dp_gene151	Zinc carboxypeptidase	extracellular space;metallocarboxypeptidase activity;zinc ion binding;proteolysis		
dp_gene152	Electron transfer flavo -ubiquinone mitochondrial	membrane;oxidoreductase activity;iron-sulfur cluster binding;oxidation-reduction process		
dp_gene153	Integral membrane efflux efpa	lysosomal membrane;integral component of membrane;vesicle;sphingolipid transporter activity;sphingosine-1-phosphate signaling pathway;lipid transport;locomotion;transmembrane transport		
dp_gene154	hypothetical protein DAPPUDRAFT_117750			
dp_gene155	Electron transfer flavo -ubiquinone mitochondrial	mitochondrial electron transfer flavoprotein complex;integral component of mitochondrial inner membrane;dihydrolipoyl dehydrogenase activity;electron-transferring-flavoprotein dehydrogenase activity;electron carrier activity;oxidoreductase activity, oxidizing metal ions with flavin as acceptor;metal ion binding;ubiquinone binding;flavin adenine dinucleotide binding;4 iron, 4 sulfur cluster binding;transport;respiratory electron transport chain;cell redox homeostasis		
dp_gene156	Torsin-1A-interacting	lysosomal membrane;integral component of membrane;vesicle;sphingolipid transporter activity;sphingosine-1-phosphate signaling pathway;lipid transport;locomotion;transmembrane transport		
dp_gene157	RNA polymerase-associated CTR9	Cdc73/Paf1 complex;RNA polymerase II core binding;regulation of transcription, DNA-templated;histone modification;regulation of histone H3-K4 methylation		
dp_gene158	Sulfotransferase sult	integral component of membrane;transporter activity;transferase activity;transmembrane transport		
dp_gene159	Vacuolar sorting-associated			
dp_gene160	DIS3 exonuclease 2	nuclear exosome (RNase complex);cytoplasmic exosome (RNase complex);P-body;integral component of membrane;3'-5'-exoribonuclease activity;RNA binding;metal ion binding;rRNA processing;miRNA catabolic process;rRNA catabolic process;nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5';RNA phosphodiester bond hydrolysis, exonucleolytic;polyuridylation-dependent mRNA catabolic process		
dp_gene161	hypothetical protein DAPPUDRAFT_300891			
dp_gene162	Centromere-associated E	kinesin complex;microtubule;microtubule motor activity;ATP binding;microtubule binding;ATPase activity;kinetochore binding;microtubule-based movement;attachment of mitotic spindle microtubules to kinetochore		
dp_gene163	ADP-ribosylation factor 13B isoform X1	intracellular;cilium;GTP binding;small GTPase mediated signal transduction;pattern specification process;system development		
dp_gene164	iron-sulfur cluster assembly scaffold	mitochondrial matrix;ferrous iron binding;iron-sulfur transferase activity;2 iron, 2 sulfur cluster binding;4 iron, 4 sulfur cluster binding;cellular iron ion homeostasis;[2Fe-2S] cluster assembly;protein maturation by iron-sulfur cluster transfer		
dp_gene165	Histone H2B	nuclear nucleosome;euchromatin;DNA binding;protein heterodimerization activity;nucleosome assembly		
dp_gene166	V-type proton ATPase 116 kDa subunit a	vacuolar proton-transporting V-type ATPase, V0 domain;integral component of membrane;proton-transporting ATPase activity, rotational mechanism;ATPase binding;vacuolar acidification;ATP synthesis coupled proton transport;ATP hydrolysis coupled proton transport;vacuolar proton-transporting V-type ATPase complex assembly		
dp_gene167	hypothetical protein DAPPUDRAFT_119323	catalytic activity;GTP binding		
dp_gene168	hypothetical protein DAPPUDRAFT_328925	integral component of membrane;ionotropic glutamate receptor activity;ionotropic glutamate receptor signaling pathway		
dp_gene169	Cuticular analogous to peritrophins 1-G	extracellular region;integral component of membrane;chitin binding;chitin metabolic process		
dp_gene170	hypothetical protein DAPPUDRAFT_113492			
dp_gene171	visual pigment-like receptor peropsin	integral component of membrane;G-protein coupled receptor activity;photoreceptor activity;G-protein coupled receptor signaling pathway;protein-chromophore linkage		
dp_gene172	ATP-binding cassette sub-family G member 8	plasma membrane;integral component of membrane;ATP binding;ATPase activity, coupled to transmembrane movement of substances;transmembrane transport		
dp_gene173	---NA---			
dp_gene174	ATP-binding cassette sub-family G member 5	integral component of membrane;apical plasma membrane;receptor complex;ATP binding;cholesterol transporter activity;ATPase activity, coupled to transmembrane movement of substances;cholesterol efflux;transmembrane transport		
dp_gene175	PDZ domain-containing GIPC3			
dp_gene176	L(2)01289 long form	cell;integral component of membrane;cell redox homeostasis		
dp_gene177	Monocarboxylate transporter	integral component of plasma membrane;aromatic amino acid transmembrane transporter activity;thyroid hormone transmembrane transporter activity;aromatic amino acid transport;ion transmembrane transport;thyroid hormone transport		
dp_gene178	hypothetical protein DAPPUDRAFT_328915			
dp_gene179	p21-activated kinase-interacting 1	kinase activity;phosphorylation		
dp_gene180	Cytochrome P450	integral component of membrane;monooxygenase activity;thromboxane-A synthase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene181	Splicing factor 3B subunit	U2 snRNP;U12-type spliceosomal complex;U2-type prespliceosome;catalytic step 2 spliceosome;mRNA binding;spliceosomal complex assembly		
dp_gene182	GPI inositol-deacylase	integral component of membrane;hydrolase activity, acting on ester bonds		
dp_gene183	splicing factor 3B subunit 1 isoform X1	U2 snRNP;U12-type spliceosomal complex;U2-type prespliceosome;catalytic step 2 spliceosome;mRNA binding;spliceosomal complex assembly		
dp_gene184	coenzyme Q-binding COQ10 homolog mitochondrial			
dp_gene185	cytidine deaminase-like	cytosol;cytidine deaminase activity;zinc ion binding;cytidine deamination		
dp_gene186	Guanylate kinase	integral component of membrane		
dp_gene187	cell adhesion molecule 2 isoform X1	integral component of membrane		
dp_gene188	hypothetical protein DAPPUDRAFT_300862			
dp_gene189	hypothetical protein DAPPUDRAFT_300880			
dp_gene190	hypothetical protein DAPPUDRAFT_300880			
dp_gene191	mucin-19-like isoform X1			
dp_gene192	Limbic system-associated membrane			
dp_gene193	---NA---			
dp_gene194	Adenylyltransferase and sulfurtransferase MOCS3	cytosol;thiosulfate sulfurtransferase activity;ATP binding;URM1 activating enzyme activity;metal ion binding;protein adenylyltransferase activity;tRNA wobble position uridine thiolation;Mo-molybdopterin cofactor biosynthetic process;protein adenylylation;enzyme active site formation via cysteine modification to L-cysteine persulfide;protein urmylation		
dp_gene195	Cuticle	integral component of membrane;structural constituent of cuticle		
dp_gene196	F-box only 21			
dp_gene197	bicaudal D	Golgi apparatus;transport		
dp_gene198	guanine nucleotide-binding -like 3 homolog	nucleolus;GTPase activity;GTP binding;ribosome biogenesis		
dp_gene199	microtubule-associated RP EB family member 1 isoform X1	microtubule binding		
dp_gene200	Proteasome subunit beta type-2	nucleus;cytoplasm;proteasome core complex;threonine-type endopeptidase activity;proteolysis involved in cellular protein catabolic process		
dp_gene201	Cytochrome c oxidase	mitochondrion;integral component of membrane;aerobic respiration;mitochondrial respiratory chain complex IV assembly		
dp_gene202	Serine threonine- phosphatase 4 regulatory subunit 3B			
dp_gene203	Serine threonine- kinase D3	intracellular;integral component of membrane;metal ion binding;intracellular signal transduction		
dp_gene204	Alpha-(1,6)-fucosyltransferase	integral component of membrane;Golgi cisterna membrane;glycoprotein 6-alpha-L-fucosyltransferase activity;protein N-linked glycosylation;protein glycosylation in Golgi;N-glycan fucosylation		
dp_gene205	ATP-dependent RNA helicase DDX24	integral component of membrane;nucleic acid binding;ATP-dependent RNA helicase activity;ATP binding;RNA secondary structure unwinding		
dp_gene206	mitochondrial import receptor subunit TOM22 homolog isoform X2	mitochondrial outer membrane translocase complex;integral component of mitochondrial outer membrane;protein channel activity;protein import into mitochondrial matrix;protein import into mitochondrial outer membrane		
dp_gene207	Phosphoserine phosphatase	cytoplasm;magnesium ion binding;phosphoserine phosphatase activity;L-serine biosynthetic process;dephosphorylation		
dp_gene208	Leucine--tRNA cytoplasmic	cytosol;aminoacyl-tRNA editing activity;leucine-tRNA ligase activity;ATP binding;leucyl-tRNA aminoacylation;regulation of translational fidelity		
dp_gene209	---NA---			
dp_gene210	Vitellogenin-1 precursor			
dp_gene211	Coatomer subunit gamma	Golgi membrane;integral component of membrane;COPI vesicle coat;structural molecule activity;intracellular protein transport;vesicle-mediated transport		
dp_gene212	Cathepsin L	membrane;cysteine-type peptidase activity;proteolysis		
dp_gene213	Aspartate carbamoyltransferase regulatory chain			
dp_gene214	Neutral sphingomyelinase n-smase activation associated factor fan			
dp_gene215	heat shock HSP 90-alpha-like			
dp_gene216	Suppression of tumorigenicity 5			
dp_gene217	Suppression of tumorigenicity 5	nucleic acid binding;Rab guanyl-nucleotide exchange factor activity		
dp_gene218	somatostatin receptor type 2-like	integral component of plasma membrane;neuron projection;opioid receptor activity;somatostatin receptor activity;neuropeptide binding;G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger;neuropeptide signaling pathway;opioid receptor signaling pathway;somatostatin signaling pathway		
dp_gene219	somatostatin receptor type 2-like	integral component of plasma membrane;neuron projection;opioid receptor activity;somatostatin receptor activity;neuropeptide binding;G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger;neuropeptide signaling pathway;opioid receptor signaling pathway;somatostatin signaling pathway		
dp_gene220	Zinc finger ZPR1	nucleoplasm;cytoplasm;neuron part;zinc ion binding;positive regulation of gene expression;cellular component organization;single-organism cellular process;anatomical structure development;regulation of cellular process		
dp_gene221	40S ribosomal S29	cytosolic small ribosomal subunit;structural constituent of ribosome;zinc ion binding		
dp_gene222	ejaculatory bulb-specific 3-like			
dp_gene223	Histone H4 transcription	nucleic acid binding;metal ion binding		
dp_gene224	PAX3- and PAX7-binding 1	U2-type post-mRNA release spliceosomal complex;RNA polymerase II core promoter proximal region sequence-specific DNA binding;transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding;negative regulation of transcription from RNA polymerase II promoter;spliceosomal complex disassembly		
dp_gene225	PH-interacting isoform X1	nucleus;regulation of transcription from RNA polymerase II promoter;cytoskeleton organization;regulation of cell shape		
dp_gene226	Serine threonine- kinase	intracellular part;calmodulin-dependent protein kinase activity;ATP binding;protein phosphorylation;lung development;regulation of cellular process;regulation of macromolecule metabolic process		
dp_gene227	hypothetical protein DAPPUDRAFT_254204			
dp_gene228	Cathepsin B	extracellular space;lysosome;cysteine-type endopeptidase activity;proteolysis involved in cellular protein catabolic process		
dp_gene229	transmembrane 35	integral component of membrane		
dp_gene230	#NAME?	integral component of membrane;zinc ion binding;oxidoreductase activity;oxidation-reduction process		
dp_gene231	RNA exonuclease NEF-sp	integral component of membrane;nucleic acid binding;catalytic activity		
dp_gene232	---NA---			
dp_gene233	RNA polymerase-associated CTR9	Cdc73/Paf1 complex;RNA polymerase II core binding;regulation of transcription, DNA-templated;histone modification;regulation of histone H3-K4 methylation		
dp_gene234	Sulfotransferase sult	membrane;transport		
dp_gene235	calponin transgelin	protein binding		
dp_gene236	gastrin cholecystokinin type B receptor-like	integral component of plasma membrane;neuropeptide Y receptor activity;peptide binding;neuropeptide signaling pathway;cellular response to hormone stimulus;response to peptide		
